Race,Category,Short Description,Size,Type,Subtype,HD,Land,Burrow,Climb,Fly,Maneuver,Swim,Natural Armor,Natural Attacks,Special Attacks,Spell-like abilities,Psionic abilities,Other Special Abilities,LowLight Vision,Darkvision,Other Senses,Immunities,Vulnerabilities,Energy Resistance,Spell Resistance,Damage Reduction,Fast Healing,Bonus Essentia,Other Special Qualities,Str,Dex,Con,Int,Wis,Cha,StrAdj,DexAdj,ConAdj,IntAdj,WisAdj,ChaAdj,Racial Skills,Racial Weapon Familiarity,Racial Weapon Proficiency,Bonus Feat(s),Automatic Languages,Bonus Languages,Dragonlance Languages,CR Adj.,Alignment,Level Adj.,Favored Class,Base Age,Height,Weight,Special Qualities,,Familiar Level,Companion Level,Familiar Type,Companion  Type,Wildshape Special,Special,Index,Species,Src,Pg,AltSrc
Select a Race/Creature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Custom Race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,,
Aarakocra,,,Medium,Monstrous Humanoid,,,20,,,90,average,,1,"2 Talons+4+0+1,Bite+3+0+0",,,,,,,,,,,,,,,,-2,4,,,,,,,,,,,"Craft (alchemy)+2,Knowledge (nature)+2,Listen+2,Spot+2",,Javelin,,"Common, Aura","Draconic, Elven, Orc, Sylvan",,,,2,Ranger,,,,,,,,,,,,,,RoF,,Mon
Aasimar,,,Medium,Outsider,Native,,30,,,ref:OutsiderWingsSpeed,average,,,,,,,,,,,,,"acid 5, cold 5, and electricity 5.",,,,,,13,11,12,10,11,10,0,0,0,0,2,2,"Listen+2,Spot+2",,,,"Common, Celestial","Draconic, Dwarven, Elven, Gnome, Halfling, Sylvan",,,,1,Paladin,15+1d6/1d8/2d8,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,RoD,92,"MM,PG,PlH"
"Abeil, Commander",,,Large,Monstrous Humanoid,,6,40,,,90,good,,,"2 Claws+4+0+1,Sting+5+0+0",,"Bull's Strength (Mass), Cure Light Wounds (Mass)",,,,60,,,,,,5/magic,,,,,,,,,,12,2,6,-2,2,2,"Listen,Psicraft,Sense Motive,Spot,Survival",,,,"Common, Elven, Sylvan",,,6,,5,Ranger,,,,,,,,,,,,,,SoX,,
"Abeil, Soldier",,,Large,Monstrous Humanoid,,6,40,,,90,good,,,"2 Claws+4+0+1,Sting+5+0+0",,,,,,60,,,,,,5/magic,,,,,,,,,,12,2,6,-2,2,2,"Listen,Psicraft,Sense Motive,Spot,Survival",,,,"Common, Elven, Sylvan",,,6,,5,Ranger,,,,,,,,,,,,,,MM2,22,
"Abeil, Vassal",,,Medium,Monstrous Humanoid,,,30,,,60,average,,,"2 Claws+4+0+0,Sting+5+0+0",,,,,,60,,,,,,,,,,,,,,,,,2,,,4,-2,"Craft (any),Jump,Knowledge (any),Listen,Search,Survival",,,,"Common, Elven, Sylvan",,,2,,4,Druid,,,,,,,,,,,,,,MM2,22,
"Archon, Hound",,,Medium,Outsider,"Archon, Extraplanar, Good, Lawful",6,40,,,,,,9,"Bite+6+0+1,Slam+4+0+0",,"Aid, Continual Flame, Detect Evil, Message (at will)",,,normal,,,"electricity, petrification",,,16;ClassLvl,10/evil,,,,15,10,13,10,13,12,4,0,2,0,2,2,"Concentration,Hide,Jump,Listen,Move Silently,Sense Motive,Spot,Survival",,,,Celestial,"Common, Draconic, Infernal",,4,,5,Ranger,,,,,,,,,,,,,,MM,16,
"Archon, Trumpet",,,Medium,Outsider,"Archon, Extraplanar, Good, Lawful",12,40,,,90,good,,14,,,"Aid, Continual Flame, Detect Evil, Message (at will)",,,normal,,,"electricity, petrification",,,29;ClassLvl,10/evil,,,,20,17,23,16,16,16,,,,,,,"Concentration,Diplomacy,Escape Artist,Handle Animal,Knowledge (any),Listen,Move Silently,Perform,Ride,Sense Motive,Spot,Use Rope",,,,Celestial,"Common, Draconic, Infernal",,14,,8,Ranger,,,,,,,,,,,,,,MM,18,
Armand,,,Small,Monstrous Humanoid,,5,20,10,,,,,4,2 Claws+5+0+0,,,,,,60,,,,,,,,,,,,,,,,,6,6,,,,"Jump,Listen,Spot,Survival+4",,,,"Common, Armandish","Elven, Giant, Gnome, Goblin, Sylvan",,3,,3,Monk,,,,,,,,,,,,,,MM3,10,
Asherati,,,Medium,Humanoid,,,30,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hide+2,Move Silently+2","Claw, Eagle's",,,"Asherati, Common","Bhuka, Goblin, Giant",,,,,Rogue,20+1d4/1d6/2d6,"5'0""/4'9""+2d10",70/65+2d4,,,,,,,,,,,Sand,139,LGCS
Aventi,,,Medium,Humanoid,Aquatic,,30,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swim+8,,,,Common,"Aquan, Elven, Sahuagin",,,,,Any,15+1d4/1d6/2d6,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,Sto,138,
Azer,,,Medium,Outsider,"Extraplanar, Fire",2,30,,,,,,6,,,,,,,,,fire,cold,,13;ClassLvl,,,,,13,13,13,12,12,9,2,2,2,2,2,-2,"Appraise,Climb,Craft (any),Hide,Jump,Listen,Search,Spot",,,,"Common, Ignan","Abyssal, Aquan, Auran, Celestial, Infernal, Terran",,2,,4,Fighter,,,,,,,,,,,,,,MM,21,
Azurin,,,Medium,Humanoid,"Human, Incarnum",,30,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,0,0,0,0,0,,,,1st level bonus feat,Common,Any,,,,,Soulborn,14+1d4/1d6/2d4,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,MoI,7,
Baphitaur,,,Medium,Outsider,Native,3,30,,,,,,3,Gore+5+0+2,,Darkness,,,,,,,,"cold 5, electricity 5, fire 5",,,,,,,,,,,,4,2,2,,,-2,"Climb,Intimidate,Jump,Listen+2,Move Silently,Search+2,Spot+2,Survival",,,,Undercommon,,,2,,2,Barbarian,,,,,,,,,,,,,,Und,82,
